x,y,z
0.0,0.83147,-4.166779
0.0,0.55557,-6.236024
0.0,0.19509,-7.355892
0.0,0.0,-7.500003
0.0,-0.19509,-7.355892
0.0,-0.55557,-6.236024
0.285452,0.980785,-1.435063
0.559934,0.92388,-2.814978
0.812898,0.83147,-4.086715
1.034623,0.707107,-5.201401
1.216588,0.55557,-6.1162
1.3518,0.382683,-6.795958
1.435064,0.19509,-7.21455
1.463178,0.0,-7.355892
1.435064,-0.19509,-7.21455
1.3518,-0.382683,-6.795958
1.216588,-0.55557,-6.1162
1.034623,-0.707107,-5.201401
0.812898,-0.83147,-4.086715
0.559934,-0.92388,-2.814978
0.285452,-0.980785,-1.435063
0.559934,0.980785,-1.3518
1.09835,0.92388,-2.651652
1.594557,0.83147,-3.849601
2.029487,0.707107,-4.899613
2.386424,0.55557,-5.761334
2.651652,0.382683,-6.401653
2.814979,0.19509,-6.795958
2.870127,0.0,-6.929099
2.814979,-0.19509,-6.795958
2.651652,-0.382683,-6.401653
2.386424,-0.55557,-5.761334
2.029487,-0.707107,-4.899613
1.594557,-0.83147,-3.849601
1.09835,-0.92388,-2.651652
0.559934,-0.980785,-1.3518
0.812898,0.980785,-1.216588
1.594557,0.92388,-2.386423
2.314938,0.83147,-3.464549
2.946358,0.707107,-4.409535
3.46455,0.55557,-5.185064
3.849602,0.382683,-5.761335
4.086716,0.19509,-6.1162
4.166779,0.0,-6.236023
4.086716,-0.19509,-6.1162
3.849602,-0.382683,-5.761335
3.46455,-0.55557,-5.185064
2.946358,-0.707107,-4.409535
2.314938,-0.83147,-3.464549
1.594557,-0.92388,-2.386423
0.812898,-0.980785,-1.216588
1.034623,0.980785,-1.034623
2.029487,0.92388,-2.029486
2.946357,0.83147,-2.946357
3.750002,0.707107,-3.750001
4.409535,0.55557,-4.409534
4.899613,0.382683,-4.899613
5.201402,0.19509,-5.201401
5.303304,0.0,-5.303301
5.201402,-0.19509,-5.201401
4.899613,-0.382683,-4.899613
4.409535,-0.55557,-4.409534
3.750002,-0.707107,-3.750001
2.946357,-0.83147,-2.946357
2.029487,-0.92388,-2.029486
1.034623,-0.980785,-1.034623
1.216588,0.980785,-0.812898
2.386424,0.92388,-1.594557
3.46455,0.83147,-2.314938
4.409536,0.707107,-2.946357
5.185065,0.55557,-3.464549
5.761335,0.382683,-3.849601
6.116202,0.19509,-4.086714
6.236025,0.0,-4.166777
6.116202,-0.19509,-4.086714
5.761335,-0.382683,-3.849601
5.185065,-0.55557,-3.464549
4.409536,-0.707107,-2.946357
3.46455,-0.83147,-2.314938
2.386424,-0.92388,-1.594557
1.216588,-0.980785,-0.812898
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
1.3518,0.980785,-0.559934
2.651652,0.92388,-1.09835
3.849602,0.83147,-1.594557
4.899614,0.707107,-2.029486
5.761335,0.55557,-2.386422
6.401653,0.382683,-2.651652
6.795959,0.19509,-2.814977
6.9291,0.0,-2.870125
6.795959,-0.19509,-2.814977
6.401653,-0.382683,-2.651652
5.761335,-0.55557,-2.386422
4.899614,-0.707107,-2.029486
3.849602,-0.83147,-1.594557
2.651652,-0.92388,-1.09835
1.3518,-0.980785,-0.559934
1.435063,0.980785,-0.285452
2.814978,0.92388,-0.559934
4.086715,0.83147,-0.812898
5.201402,0.707107,-1.034623
6.116201,0.55557,-1.216587
6.795959,0.382683,-1.3518
7.214551,0.19509,-1.435063
7.355892,0.0,-1.463176
7.214551,-0.19509,-1.435063
6.795959,-0.382683,-1.3518
6.116201,-0.55557,-1.216587
5.201402,-0.707107,-1.034623
4.086715,-0.83147,-0.812898
2.814978,-0.92388,-0.559934
1.435063,-0.980785,-0.285452
1.463178,0.980785,0.0
2.870127,0.92388,0.0
4.166779,0.83147,0.0
5.303303,0.707107,-0.0
6.236024,0.55557,1e-06
6.9291,0.382683,-0.0
7.355893,0.19509,1e-06
7.500002,0.0,1e-06
7.355893,-0.19509,1e-06
6.9291,-0.382683,-0.0
6.236024,-0.55557,1e-06
5.303303,-0.707107,-0.0
4.166779,-0.83147,0.0
2.870127,-0.92388,0.0
1.463178,-0.980785,0.0
1.435063,0.980785,0.285452
2.814978,0.92388,0.559934
4.086715,0.83147,0.812898
5.201402,0.707107,1.034623
6.1162,0.55557,1.216588
6.795959,0.382683,1.3518
7.214551,0.19509,1.435064
7.355891,0.0,1.463179
7.214551,-0.19509,1.435064
6.795959,-0.382683,1.3518
6.1162,-0.55557,1.216588
5.201402,-0.707107,1.034623
4.086715,-0.83147,0.812898
2.814978,-0.92388,0.559934
1.435063,-0.980785,0.285452
1.3518,0.980785,0.559934
2.651652,0.92388,1.09835
3.849601,0.83147,1.594557
4.899613,0.707107,2.029486
5.761334,0.55557,2.386423
6.401653,0.382683,2.651651
6.795958,0.19509,2.814978
6.929097,0.0,2.870127
6.795958,-0.19509,2.814978
6.401653,-0.382683,2.651651
5.761334,-0.55557,2.386423
4.899613,-0.707107,2.029486
3.849601,-0.83147,1.594557
2.651652,-0.92388,1.09835
1.3518,-0.980785,0.559934
1.216588,0.980785,0.812898
2.386423,0.92388,1.594557
3.464549,0.83147,2.314938
4.409535,0.707107,2.946357
5.185064,0.55557,3.464549
5.761335,0.382683,3.8496
6.1162,0.19509,4.086714
6.236022,0.0,4.166778
6.1162,-0.19509,4.086714
5.761335,-0.382683,3.8496
5.185064,-0.55557,3.464549
4.409535,-0.707107,2.946357
3.464549,-0.83147,2.314938
2.386423,-0.92388,1.594557
1.216588,-0.980785,0.812898
1.034623,0.980785,1.034623
2.029486,0.92388,2.029486
2.946356,0.83147,2.946357
3.750002,0.707107,3.750001
4.409534,0.55557,4.409534
4.899613,0.382683,4.899612
5.201401,0.19509,5.201401
5.3033,0.0,5.303302
5.201401,-0.19509,5.201401
4.899613,-0.382683,4.899612
4.409534,-0.55557,4.409534
3.750002,-0.707107,3.750001
2.946356,-0.83147,2.946357
2.029486,-0.92388,2.029486
1.034623,-0.980785,1.034623
0.812898,0.980785,1.216587
1.594557,0.92388,2.386423
2.314937,0.83147,3.464549
2.946357,0.707107,4.409534
3.464549,0.55557,5.185063
3.849602,0.382683,5.761334
4.086714,0.19509,6.1162
4.166775,0.0,6.236022
4.086714,-0.19509,6.1162
3.849602,-0.382683,5.761334
3.464549,-0.55557,5.185063
2.946357,-0.707107,4.409534
2.314937,-0.83147,3.464549
1.594557,-0.92388,2.386423
0.812898,-0.980785,1.216587
0.559934,0.980785,1.351799
1.09835,0.92388,2.651651
1.594556,0.83147,3.8496
2.029486,0.707107,4.899612
2.386422,0.55557,5.761333
2.651652,0.382683,6.401651
2.814977,0.19509,6.795957
2.870124,0.0,6.929096
2.814977,-0.19509,6.795957
2.651652,-0.382683,6.401651
2.386422,-0.55557,5.761333
2.029486,-0.707107,4.899612
1.594556,-0.83147,3.8496
1.09835,-0.92388,2.651651
0.559934,-0.980785,1.351799
0.285452,0.980785,1.435063
0.559934,0.92388,2.814977
0.812897,0.83147,4.086713
1.034623,0.707107,5.201401
1.216587,0.55557,6.116199
1.3518,0.382683,6.795957
1.435062,0.19509,7.214549
1.463175,0.0,7.355889
1.435062,-0.19509,7.214549
1.3518,-0.382683,6.795957
1.216587,-0.55557,6.116199
1.034623,-0.707107,5.201401
0.812897,-0.83147,4.086713
0.559934,-0.92388,2.814977
0.285452,-0.980785,1.435063
-0.0,0.980785,1.463177
-0.0,0.92388,2.870126
-1e-06,0.83147,4.166776
-0.0,0.707107,5.303302
-1e-06,0.55557,6.236022
0.0,0.382683,6.929097
-1e-06,0.19509,7.35589
-2e-06,0.0,7.499998
-1e-06,-0.19509,7.35589
0.0,-0.382683,6.929097
-1e-06,-0.55557,6.236022
-0.0,-0.707107,5.303302
-1e-06,-0.83147,4.166776
-0.0,-0.92388,2.870126
-0.0,-0.980785,1.463177
-0.285452,0.980785,1.435062
-0.559934,0.92388,2.814977
-0.812899,0.83147,4.086713
-1.034623,0.707107,5.2014
-1.216589,0.55557,6.116199
-1.3518,0.382683,6.795956
-1.435064,0.19509,7.214548
-1.46318,0.0,7.355887
-1.435064,-0.19509,7.214548
-1.3518,-0.382683,6.795956
-1.216589,-0.55557,6.116199
-1.034623,-0.707107,5.2014
-0.812899,-0.83147,4.086713
-0.559934,-0.92388,2.814977
-0.285452,-0.980785,1.435062
-0.559934,0.980785,1.351799
-1.09835,0.92388,2.651651
-1.594557,0.83147,3.849599
-2.029486,0.707107,4.899612
-2.386424,0.55557,5.761333
-2.651651,0.382683,6.401651
-2.814979,0.19509,6.795955
-2.870128,0.0,6.929093
-2.814979,-0.19509,6.795955
-2.651651,-0.382683,6.401651
-2.386424,-0.55557,5.761333
-2.029486,-0.707107,4.899612
-1.594557,-0.83147,3.849599
-1.09835,-0.92388,2.651651
-0.559934,-0.980785,1.351799
-0.812898,0.980785,1.216587
-1.594557,0.92388,2.386422
-2.314938,0.83147,3.464547
-2.946357,0.707107,4.409534
-3.464549,0.55557,5.185062
-3.8496,0.382683,5.761333
-4.086715,0.19509,6.116198
-4.166779,0.0,6.236018
-4.086715,-0.19509,6.116198
-3.8496,-0.382683,5.761333
-3.464549,-0.55557,5.185062
-2.946357,-0.707107,4.409534
-2.314938,-0.83147,3.464547
-1.594557,-0.92388,2.386422
-0.812898,-0.980785,1.216587
-1.034622,0.980785,1.034622
-2.029486,0.92388,2.029485
-2.946357,0.83147,2.946355
-3.750001,0.707107,3.75
-4.409534,0.55557,4.409532
-4.899612,0.382683,4.899611
-5.201401,0.19509,5.201398
-5.303301,0.0,5.303297
-5.201401,-0.19509,5.201398
-4.899612,-0.382683,4.899611
-4.409534,-0.55557,4.409532
-3.750001,-0.707107,3.75
-2.946357,-0.83147,2.946355
-2.029486,-0.92388,2.029485
-1.034622,-0.980785,1.034622
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
-1.216587,0.980785,0.812897
-2.386423,0.92388,1.594556
-3.464548,0.83147,2.314935
-4.409535,0.707107,2.946356
-5.185064,0.55557,3.464547
-5.761334,0.382683,3.8496
-6.1162,0.19509,4.086712
-6.236022,0.0,4.166772
-6.1162,-0.19509,4.086712
-5.761334,-0.382683,3.8496
-5.185064,-0.55557,3.464547
-4.409535,-0.707107,2.946356
-3.464548,-0.83147,2.314935
-2.386423,-0.92388,1.594556
-1.216587,-0.980785,0.812897
-1.351799,0.980785,0.559933
-2.651651,0.92388,1.098349
-3.849599,0.83147,1.594555
-4.899613,0.707107,2.029485
-5.761334,0.55557,2.386421
-6.401651,0.382683,2.65165
-6.795958,0.19509,2.814975
-6.929095,0.0,2.870121
-6.795958,-0.19509,2.814975
-6.401651,-0.382683,2.65165
-5.761334,-0.55557,2.386421
-4.899613,-0.707107,2.029485
-3.849599,-0.83147,1.594555
-2.651651,-0.92388,1.098349
-1.351799,-0.980785,0.559933
-1.435062,0.980785,0.285451
-2.814977,0.92388,0.559933
-4.086712,0.83147,0.812896
-5.201401,0.707107,1.034623
-6.116199,0.55557,1.216586
-6.795957,0.382683,1.3518
-7.21455,0.19509,1.435061
-7.355887,0.0,1.463173
-7.21455,-0.19509,1.435061
-6.795957,-0.382683,1.3518
-6.116199,-0.55557,1.216586
-5.201401,-0.707107,1.034623
-4.086712,-0.83147,0.812896
-2.814977,-0.92388,0.559933
-1.435062,-0.980785,0.285451
-1.463177,0.980785,-0.0
-1.463177,0.980785,-0.0
-2.870126,0.92388,-0.0
-2.870126,0.92388,-0.0
-4.166776,0.83147,-1e-06
-4.166776,0.83147,-1e-06
-5.303302,0.707107,-0.0
-5.303302,0.707107,-0.0
-6.236022,0.55557,-1e-06
-6.236022,0.55557,-1e-06
-6.929098,0.382683,-0.0
-6.929098,0.382683,-0.0
-7.35589,0.19509,-2e-06
-7.35589,0.19509,-2e-06
-7.499997,0.0,-3e-06
-7.499997,0.0,-3e-06
-7.35589,-0.19509,-2e-06
-7.35589,-0.19509,-2e-06
-6.929098,-0.382683,-0.0
-6.929098,-0.382683,-0.0
-6.236022,-0.55557,-1e-06
-6.236022,-0.55557,-1e-06
-5.303302,-0.707107,-0.0
-5.303302,-0.707107,-0.0
-4.166776,-0.83147,-1e-06
-4.166776,-0.83147,-1e-06
-2.870126,-0.92388,-0.0
-2.870126,-0.92388,-0.0
-1.463177,-0.980785,-0.0
-1.463177,-0.980785,-0.0
-1.435062,0.980785,-0.285452
-2.814977,0.92388,-0.559934
-4.086712,0.83147,-0.812899
-5.201401,0.707107,-1.034623
-6.116198,0.55557,-1.216589
-6.795957,0.382683,-1.3518
-7.214548,0.19509,-1.435065
-7.355886,0.0,-1.46318
-7.214548,-0.19509,-1.435065
-6.795957,-0.382683,-1.3518
-6.116198,-0.55557,-1.216589
-5.201401,-0.707107,-1.034623
-4.086712,-0.83147,-0.812899
-2.814977,-0.92388,-0.559934
-1.435062,-0.980785,-0.285452
-1.351799,0.980785,-0.559934
-2.651651,0.92388,-1.09835
-3.849598,0.83147,-1.594557
-4.899612,0.707107,-2.029486
-5.761333,0.55557,-2.386423
-6.401651,0.382683,-2.65165
-6.795955,0.19509,-2.814979
-6.929092,0.0,-2.870127
-6.795955,-0.19509,-2.814979
-6.401651,-0.382683,-2.65165
-5.761333,-0.55557,-2.386423
-4.899612,-0.707107,-2.029486
-3.849598,-0.83147,-1.594557
-2.651651,-0.92388,-1.09835
-1.351799,-0.980785,-0.559934
-1.216587,0.980785,-0.812898
-2.386422,0.92388,-1.594557
-3.464546,0.83147,-2.314937
-4.409534,0.707107,-2.946357
-5.185061,0.55557,-3.464549
-5.761334,0.382683,-3.8496
-6.116198,0.19509,-4.086714
-6.236017,0.0,-4.166777
-6.116198,-0.19509,-4.086714
-5.761334,-0.382683,-3.8496
-5.185061,-0.55557,-3.464549
-4.409534,-0.707107,-2.946357
-3.464546,-0.83147,-2.314937
-2.386422,-0.92388,-1.594557
-1.216587,-0.980785,-0.812898
-1.034622,0.980785,-1.034622
-2.029485,0.92388,-2.029485
-2.946354,0.83147,-2.946355
-3.750001,0.707107,-3.75
-4.409532,0.55557,-4.409533
-4.899611,0.382683,-4.899611
-5.201398,0.19509,-5.2014
-5.303296,0.0,-5.303299
-5.201398,-0.19509,-5.2014
-4.899611,-0.382683,-4.899611
-4.409532,-0.55557,-4.409533
-3.750001,-0.707107,-3.75
-2.946354,-0.83147,-2.946355
-2.029485,-0.92388,-2.029485
-1.034622,-0.980785,-1.034622
-0.812897,0.980785,-1.216587
-1.594556,0.92388,-2.386422
-2.314935,0.83147,-3.464547
-2.946357,0.707107,-4.409534
-3.464546,0.55557,-5.185062
-3.8496,0.382683,-5.761333
-4.086712,0.19509,-6.116199
-4.166771,0.0,-6.23602
-4.086712,-0.19509,-6.116199
-3.8496,-0.382683,-5.761333
-3.464546,-0.55557,-5.185062
-2.946357,-0.707107,-4.409534
-2.314935,-0.83147,-3.464547
-1.594556,-0.92388,-2.386422
-0.812897,-0.980785,-1.216587
-0.559933,0.980785,-1.351799
-1.098349,0.92388,-2.65165
-1.594554,0.83147,-3.849598
-2.029485,0.707107,-4.899612
-2.38642,0.55557,-5.761332
-2.65165,0.382683,-6.40165
-2.814975,0.19509,-6.795955
-2.870121,0.0,-6.929092
-2.814975,-0.19509,-6.795955
-2.65165,-0.382683,-6.40165
-2.38642,-0.55557,-5.761332
-2.029485,-0.707107,-4.899612
-1.594554,-0.83147,-3.849598
-1.098349,-0.92388,-2.65165
-0.559933,-0.980785,-1.351799
-0.285452,0.980785,-1.435062
-0.559933,0.92388,-2.814977
-0.812896,0.83147,-4.08671
-1.034622,0.707107,-5.2014
-1.216586,0.55557,-6.116197
-1.351799,0.382683,-6.795955
-1.435061,0.19509,-7.214547
-1.463173,0.0,-7.355884
-1.435061,-0.19509,-7.214547
-1.351799,-0.382683,-6.795955
-1.216586,-0.55557,-6.116197
-1.034622,-0.707107,-5.2014
-0.812896,-0.83147,-4.08671
-0.559933,-0.92388,-2.814977
-0.285452,-0.980785,-1.435062
0.0,0.980785,-1.463176
1e-06,0.92388,-2.870125
1e-06,0.707107,-5.303301
0.0,0.382683,-6.929095
0.0,-0.382683,-6.929095
1e-06,-0.707107,-5.303301
2e-06,-0.83147,-4.166773
1e-06,-0.92388,-2.870125
0.0,-0.980785,-1.463176
